SEP=,
item.palamod.paladium_hammer_smelt_speed_more_upgrade_1,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_speed_more_upgrade_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_speed.description_0,§b- SPEED,§b- SPEED
item.palamod.paladium_hammer_smelt_speed_more_upgrade_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_speed_more_upgrade_2.description_1,§b- SPEED,§b- SPEED
item.palamod.paladium_hammer_smelt_speed_more_upgrade_2.description_2,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_speed_more_upgrade_1.description_0,§aMore Upgrade [x1],§aMore Upgrade [x1]
item.palamod.paladium_hammer_smelt_speed_more_upgrade_1.description_2,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_speed_more_upgrade_1.description_1,§b- SPEED,§b- SPEED
item.palamod.paladium_hammer_smelt_fortune_1,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_fortune_1.description_0,§aMore Upgrade [x1],§aMore Upgrade [x1]
item.palamod.paladium_hammer_smelt_fortune_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_fortune_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_fortune_1_speed,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_fortune_1_speed.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_fortune_1.description_1,§e-Fortune 1,§e-Fortune 1
item.palamod.paladium_hammer_smelt_fortune_2.description_1,§e- Fortune 2,§e- Fortune 2
item.palamod.paladium_hammer_smelt_fortune_1_speed.description_2,§b- SPEED,§b- SPEED
item.palamod.paladium_hammer_smelt_fortune_1_speed.description_1,§e- Fortune 1,§e- Fortune 1
item.palamod.paladium_hammer_smelt_fortune_1_speed.description_3,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_fortune_2.description_2,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_fortune_1.description_2,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_fortune_1_more_upgrade_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_fortune_1_more_upgrade_2.description_2,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_fortune_1_more_upgrade_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_fortune_1_more_upgrade_2.description_1,§e-Fortune 1,§e-Fortune 1
item.palamod.paladium_broadsword_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_damage,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_damage_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_knockback_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_damage_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_flame_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_knockback_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_damage_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_damage_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_more_1.description_1,§u-Knockback 1,§u-Knockback 1
item.palamod.paladium_broadsword_knockback_more_2.description_1,§u -Knockback 1,§u -Knockback 1
item.palamod.paladium_broadsword_knockback.description_0,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_flame_more_1.description_1,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_more_2.description_1,§c- Flame,§c- Flame
item.palamod.paladium_broadsword_flame.description_0,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_damage_more_2.description_1,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_damage_more_1.description_1,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_damage.description_0,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_damage_2_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_damage_2_more_1.description_1,§c- Damage 2,§c- Damage 2
item.palamod.paladium_broadsword_damage_2_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_damage_2_more_2.description_1,§c- Damage 2,§c- Damage 2
item.palamod.paladium_broadsword_damage_2_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_damage_2_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_damage_3_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_damage_3_more_2.description_1,§c- Damage 3,§c- Damage 3
item.palamod.paladium_broadsword_damage_3_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_2_more_1.description_1,§u -Knockback 2,§u -Knockback 2
item.palamod.paladium_broadsword_knockback_2_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_knockback_2_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_2_more_2.description_1,§u -Knockback 2,§u -Knockback 2
item.palamod.paladium_broadsword_knockback_2_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_knockback_2_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_1_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_1_more_2.description_1,§u -Knockback 1,§u -Knockback 1
item.palamod.paladium_broadsword_knockback_1_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame_damage_1_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_damage_1_more_1.description_1,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_damage_1_more_1.description_2,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_flame_damage_1_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_flame_damage_1_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_damage_1_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame_damage_1_more_2.description_1,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_damage_1_more_2.description_2,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_flame_damage_2_more_2.description_1,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_damage_2_more_2.description_2,§c- Damage 2,§c- Damage 2
item.palamod.paladium_broadsword_flame_damage_2_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame_damage_2_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_damage_flame,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_damage_flame.description_3,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_knockback_damage_flame.description_2,§u-Knockback 1,§u-Knockback 1
item.palamod.paladium_broadsword_knockback_damage_flame.description_1,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_knockback_damage_flame.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_knockback_1_damage_1_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_1_damage_1_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_knockback_1_damage_1_more_1.description_1,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_knockback_1_damage_1_more_1.description_2,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_knockback_1_damage_1_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_1_damage_1_more_2.description_1,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_knockback_1_damage_1_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_knockback_1_damage_1_more_2.description_2,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_knockback_1_damage_2_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_1_damage_2_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_knockback_1_damage_2_more_2.description_2,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_knockback_1_damage_2_more_2.description_1,§c- Damage 2,§c- Damage 2
item.palamod.paladium_broadsword_knockback_2_damage_1_more_2.description_1,§c- Damage 1,§c- Damage 1
item.palamod.paladium_broadsword_knockback_2_damage_1_more_2.description_2,§u- Knockback 2,§u- Knockback 2
item.palamod.paladium_broadsword_knockback_2_damage_1_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_knockback_2_damage_1_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame_knockback_1_more_1,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_knockback_1_more_1.description_1,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_flame_knockback_1_more_1.description_2,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_knockback_1_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_broadsword_flame_knockback_1_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_knockback_1_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
item.palamod.paladium_broadsword_flame_knockback_1_more_2.description_1,§u- Knockback 1,§u- Knockback 1
item.palamod.paladium_broadsword_flame_knockback_1_more_2.description_2,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_knockback_2_more_2,Paladium Broadsword,Paladium Broadsword
item.palamod.paladium_broadsword_flame_knockback_2_more_2.description_2,§6- Flame,§6- Flame
item.palamod.paladium_broadsword_flame_knockback_2_more_2.description_1,§u- Knockback 2,§u- Knockback 2
item.palamod.paladium_broadsword_flame_knockback_2_more_2.description_0,§a- More Upgrade [x2],§a- More Upgrade [x2]
block.palamod.blackhole,Blackhole,Blackhole
block.palamod.order_banner,Order Banner,Order Banner
block.palamod.chaos_banner,Chaos Banner,Chaos Banner
entity.palamod.enox,Enox,Enox
item.palamod.enox_spawn_egg,Enox Spawn Egg,Enox Spawn Egg
entity.palamod.olympus,Olympus,Olympus
item.palamod.olympus_spawn_egg,Olympus Spawn Egg,Olympus Spawn Egg
item.palamod.heimdall_spawn_egg,Heimdall Spawn Egg,Heimdall Spawn Egg
entity.palamod.heimdall,Heimdall,Heimdall
entity.palamod.frig,Frig,Frig
item.palamod.frig_spawn_egg,Frig Spawn Egg,Frig Spawn Egg
item.palamod.skeleton_arty_spawn_egg,Skeleton Arty Spawn Egg,Skeleton Arty Spawn Egg
entity.palamod.skeleton_arty,Skeleton Arty,Skeleton Arty
entity.palamod.chaos_nexus,Chaos Nexus,Chaos Nexus
item.palamod.chaos_nexus_spawn_egg,Chaos Nexus Spawn Egg,Chaos Nexus Spawn Egg
entity.palamod.order_nexus,Order Nexus,Order Nexus
item.palamod.order_nexus_spawn_egg,Order Nexus Spawn Egg,Order Nexus Spawn Egg
item.palamod.paladium_og_chestplate,Plastron d'Paladium OG,Paladium OG Chestplate
item.palamod.paladium_og_helmet,Casque d'Paladium OG,Paladium OG Helmet
item.palamod.paladium_og_leggings,Jambières de Paladium OG,Paladium OG Leggings
item.palamod.paladium_og_boots,Paladium OG Boots,Paladium OG Boots
block.palamod.shop_point_bundle,Shop Point Bundle,Shop Point Bundle
item.palamod.chaos_axe,Chaos Axe,Chaos Axe
item.palamod.order_joust,Order Joust,Order Joust
item.palamod.ng_corrupted_helmet,Casque d'NG Corrupted,NG Corrupted Helmet
item.palamod.ng_corrupted_boots,NG Corrupted Boots,NG Corrupted Boots
item.palamod.ng_corrupted_leggings,Jambières de NG Corrupted,NG Corrupted Leggings
item.palamod.ng_corrupted_chestplate,Plastron d'NG Corrupted,NG Corrupted Chestplate
subtitles.status_walk,status walk,status walk
entity.palamod.ancient_status,Ancient Status,Ancient Status
item.palamod.ancient_status_spawn_egg,Ancient Status Spawn Egg,Ancient Status Spawn Egg
gui.palamod.cauldrongui.label_shiny_wood,Shiny Wood,Shiny Wood
block.palamod.shiny_judeecercis_wood,Shiny Judeecercis Wood,Shiny Judeecercis Wood
block.palamod.shiny_ostrya_wood,Shiny Ostrya Wood,Shiny Ostrya Wood
block.palamod.shiny_erable_wood,Shiny Erable Wood,Shiny Erable Wood
block.palamod.shiny_jacaranda_wood,Shiny Jacaranda Wood,Shiny Jacaranda Wood
block.palamod.endium_portal_angle_block,Endium Portal Angle Block,Endium Portal Angle Block
block.palamod.amethyst_portal_block,Améthyste Portal Block,Amethyst Portal Block
block.palamod.endium_portal_block,Endium Portal Block,Endium Portal Block
block.palamod.paladium_portal_block,Paladium Portal Block,Paladium Portal Block
block.palamod.titane_portal_block,Titane Portal Block,Titane Portal Block
item.palamod.amethyst_portal_key,Améthyste Portal Key,Amethyst Portal Key
item.palamod.titane_portal_key,Titane Portal Key,Titane Portal Key
item.palamod.paladium_portal_key,Paladium Portal Key,Paladium Portal Key
item.palamod.endium_portal_key,Endium Portal Key,Endium Portal Key
item.palamod.endium_heart,Endium Heart,Endium Heart
block.palamod.portal_alchimiste,Portal Alchimiste,Portal Alchimiste
gui.palamod.portal_gui.label_key,KEY,KEY
block.palamod.portal_alchimiste_titane,Portal Alchimiste,Portal Alchimiste
block.palamod.portal_alchimiste_paladium,Portal Alchimiste,Portal Alchimiste
block.palamod.portal_alchimiste_endium,Portal Alchimiste,Portal Alchimiste
block.palamod.gold_tank,Gold Tank,Gold Tank
block.palamod.gold_tank.description_0,May contain: 35 Buckets of any type !,May contain: 35 Buckets of any type !
block.palamod.amethyst_tank,Améthyste Tank,Amethyst Tank
block.palamod.titane_tank,Titane Tank,Titane Tank
block.palamod.paladium_tank,Paladium Tank,Paladium Tank
block.palamod.extractor,Extractor,Extractor
block.palamod.extractor_flask,Extractor,Extractor
block.palamod.dead_log,Dead Log,Dead Log
block.palamod.dead_wood,Dead Wood,Dead Wood
block.palamod.dead_planks,Dead Planks,Dead Planks
block.palamod.dead_stairs,Dead Escaliers,Dead Stairs
block.palamod.dead_slab,Dead Slab,Dead Slab
block.palamod.dead_fence,Dead Fence,Dead Fence
block.palamod.dead_fence_gate,Dead Fence Gate,Dead Fence Gate
block.palamod.dead_pressure_plate,Dead Pressure Plate,Dead Pressure Plate
block.palamod.dead_button,Bouton de Dead,Dead Button
block.palamod.extractor_flask_empty,Extractor,Extractor
item.palamod.empty_flask,Empty Flask,Empty Flask
item.palamod.ostrya_flask,Sap Flask,Sap Flask
item.palamod.ostrya_flask.description_0,§eSap : §6Ostrya,§eSap : §6Ostrya
item.palamod.jacaranda_flask.description_0,§eSap : §6Jacaranda,§eSap : §6Jacaranda
item.palamod.jacaranda_flask,Sap Flask,Sap Flask
item.palamod.judeecercis_flask.description_0,§eSap : §6Judeecercis,§eSap : §6Judeecercis
item.palamod.judeecercis_flask,Sap Flask,Sap Flask
item.palamod.erable_flask,Sap Flask,Sap Flask
item.palamod.erable_flask.description_0,§eSap : §6Erable,§eSap : §6Erable
block.palamod.judeercercis_log_phase_1,Judeecercis Log,Judeecercis Log
block.palamod.jacaranda_log_phase_1,Jacaranda Log,Jacaranda Log
block.palamod.erable_log_phase_1,Erable Log,Erable Log
block.palamod.ostrya_log_phase_1,Ostrya Log,Ostrya Log
block.palamod.judeercercis_log_phase_2,Judeecercis Log,Judeecercis Log
block.palamod.judeercercis_log_phase_3,Judeecercis Log,Judeecercis Log
block.palamod.judeercercis_log_phase_4,Judeecercis Log,Judeecercis Log
block.palamod.jacaranda_log_phase_2,Jacaranda Log,Jacaranda Log
block.palamod.jacaranda_log_phase_3,Jacaranda Log,Jacaranda Log
block.palamod.jacaranda_log_phase_4,Jacaranda Log,Jacaranda Log
block.palamod.erable_log_phase_2,Erable Log,Erable Log
block.palamod.erable_log_phase_3,Erable Log,Erable Log
block.palamod.erable_log_phase_4,Erable Log,Erable Log
block.palamod.ostrya_log_phase_2,Ostrya Log,Ostrya Log
block.palamod.ostrya_log_phase_3,Ostrya Log,Ostrya Log
block.palamod.ostrya_log_phase_4,Ostrya Log,Ostrya Log
item.palamod.weighted_boots,Weighted Boots,Weighted Boots
entity.palamod.mohiras,Mohiras,Mohiras
item.palamod.mohiras_spawn_egg,Mohiras Spawn Egg,Mohiras Spawn Egg
block.palamod.withered_obsidian_1,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_2,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_3,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_4,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_5,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_6,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_7,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_8,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_9,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_10,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_11,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_12,Withered Obsidian,Withered Obsidian
block.palamod.withered_obsidian_13,Withered Obsidian,Withered Obsidian
item.palamod.miner,Blaze And Steel,Blaze And Steel
block.palamod.actaeapachypoda,Actaeapachypoda,Actaeapachypoda
block.palamod.absinthe,Absinthe,Absinthe
block.palamod.clathrusarcheri,Clathrusarcheri,Clathrusarcheri
gui.palamod.help_commands.label_sethome_home_delhome,"/sethome, home, delhome","/sethome, home, delhome"
gui.palamod.help_commands.label_furnace,/furnace,/furnace
gui.palamod.help_commands.label_vanish,/vanish,/vanish
gui.palamod.help_commands.label_feed,/feed,/feed
gui.palamod.help_commands.label_godmode,/godmode,/godmode
block.palamod.withered_piston,Withered Piston,Withered Piston
gui.palamod.portal_on_gui.label_drop_sap,Drop Sap,Drop Sap
gui.palamod.portal_on_guiendium.label_drop_sap,Drop Sap,Drop Sap
gui.palamod.portal_on_guiendium.label_endium_pollen_x2,Endium Pollen [ x2 ],Endium Pollen [ x2 ]
item.palamod.pog_2.description_0,POG - Level : 2,POG - Level : 2
item.palamod.pog_2,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_3.description_0,POG - Level : 3,POG - Level : 3
item.palamod.pog_3,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_4,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_4.description_0,POG - Level : 4,POG - Level : 4
item.palamod.pog_5,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_5.description_0,POG - Level : 5,POG - Level : 5
item.palamod.pog_6,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_6.description_0,POG - Level : 6,POG - Level : 6
item.palamod.pog_7.description_0,POG - Level : 7,POG - Level : 7
item.palamod.pog_7,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_8,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_8.description_0,POG - Level : 8,POG - Level : 8
item.palamod.pog_9,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_9.description_0,POG - Level : 9,POG - Level : 9
item.palamod.pog_10.description_0,POG - Level : 10,POG - Level : 10
item.palamod.pog_10,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_11,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_11.description_0,POG - Level : 11,POG - Level : 11
item.palamod.pog_12,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_12.description_0,POG - Level : 12,POG - Level : 12
item.palamod.pog_13.description_0,POG - Level : 13,POG - Level : 13
item.palamod.pog_13,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_14,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_14.description_0,POG - Level : 14,POG - Level : 14
item.palamod.pog_15,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_15.description_0,POG - Level : 15,POG - Level : 15
item.palamod.pog_16,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_16.description_0,POG - Level : 16,POG - Level : 16
item.palamod.pog_17,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_17.description_0,POG - Level : 17,POG - Level : 17
item.palamod.pog_18.description_0,POG - Level : 18,POG - Level : 18
item.palamod.pog_18,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_19.description_0,POG - Level : 19,POG - Level : 19
item.palamod.pog_19,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_20,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_20.description_0,POG - Level : 20,POG - Level : 20
item.palamod.pog_21,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_21.description_0,POG - Level : 21,POG - Level : 21
item.palamod.pog_22,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_22.description_0,POG - Level : 22,POG - Level : 22
item.palamod.pog_23.description_0,POG - Level : 23,POG - Level : 23
item.palamod.pog_23,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_24,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_24.description_0,POG - Level : 24,POG - Level : 24
item.palamod.pog_25,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_25.description_0,POG - Level : 25,POG - Level : 25
item.palamod.pog_26,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_26.description_0,POG - Level : 26,POG - Level : 26
item.palamod.pog_27,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_27.description_0,POG - Level : 27,POG - Level : 27
item.palamod.pog_28.description_0,POG - Level : 28,POG - Level : 28
item.palamod.pog_28,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_29.description_0,POG - Level : 29,POG - Level : 29
item.palamod.pog_29,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_30,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_30.description_0,POG - Level : 30,POG - Level : 30
item.palamod.pog_31,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_31.description_0,POG - Level : 31,POG - Level : 31
item.palamod.pog_32,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_32.description_0,POG - Level : 32,POG - Level : 32
item.palamod.pog_33,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_33.description_0,POG - Level : 33,POG - Level : 33
item.palamod.pog_34.description_0,POG - Level : 34,POG - Level : 34
item.palamod.pog_34,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_35,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_35.description_0,POG - Level : 35,POG - Level : 35
item.palamod.pog_36,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_36.description_0,POG - Level : 36,POG - Level : 36
item.palamod.pog_37.description_0,POG - Level : 37,POG - Level : 37
item.palamod.pog_37,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_38,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_38.description_0,POG - Level : 38,POG - Level : 38
item.palamod.pog_39.description_0,POG - Level : 39,POG - Level : 39
item.palamod.pog_39,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_40,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_40.description_0,POG - Level : 40,POG - Level : 40
item.palamod.pog_41,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_41.description_0,POG - Level : 41,POG - Level : 41
item.palamod.pog_42,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_42.description_0,POG - Level : 42,POG - Level : 42
item.palamod.pog_43,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_43.description_0,POG - Level : 43,POG - Level : 43
item.palamod.pog_44,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_44.description_0,POG - Level : 44,POG - Level : 44
item.palamod.pog_45,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_45.description_0,POG - Level : 45,POG - Level : 45
item.palamod.pog_46,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_46.description_0,POG - Level : 46,POG - Level : 46
item.palamod.pog_47,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_47.description_0,POG - Level : 47,POG - Level : 47
item.palamod.pog_48.description_0,POG - Level : 48,POG - Level : 48
item.palamod.pog_48,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_49.description_0,POG - Level : 49,POG - Level : 49
item.palamod.pog_49,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_50.description_0,POG - Level : 50,POG - Level : 50
item.palamod.pog_50,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_51,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_51.description_0,POG - Level : 51,POG - Level : 51
item.palamod.pog_52,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_52.description_0,POG - Level : 52,POG - Level : 52
item.palamod.pog_53,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_53.description_0,POG - Level : 53,POG - Level : 53
item.palamod.pog_54,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_54.description_0,POG - Level : 54,POG - Level : 54
item.palamod.pog_55.description_0,POG - Level : 55,POG - Level : 55
item.palamod.pog_55,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_56,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_56.description_0,POG - Level : 56,POG - Level : 56
item.palamod.pog_57,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_57.description_0,POG - Level : 57,POG - Level : 57
item.palamod.pog_58.description_0,POG - Level : 58,POG - Level : 58
item.palamod.pog_58,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_59.description_0,POG - Level : 59,POG - Level : 59
item.palamod.pog_59,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_60.description_0,POG - Level : 60,POG - Level : 60
item.palamod.pog_60,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_61.description_0,POG - Level : 61,POG - Level : 61
item.palamod.pog_61,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_62,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_62.description_0,POG - Level : 62,POG - Level : 62
item.palamod.pog_63,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_63.description_0,POG - Level : 63,POG - Level : 63
item.palamod.pog_64,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_64.description_0,POG - Level : 64,POG - Level : 64
item.palamod.pog_65,Pioche Of The God,Pickaxe Of The God
item.palamod.pog_65.description_0,POG - Level : 65,POG - Level : 65
